Epoch 0 Train: Loss=3.4, RMSE=1.81, test loss=3.3, J=1.95, R=3.13, bufsize=2200
Epoch 15 Train: Loss=4.2, RMSE=2.02, test loss=1.9, J=2.59, R=6.19, bufsize=2400
Epoch 30 Train: Loss=3.3, RMSE=1.81, test loss=1.7, J=11.69, R=44.91, bufsize=2800
Epoch 45 Train: Loss=4.3, RMSE=2.08, test loss=1.7, J=11.84, R=32.80, bufsize=3000
Epoch 60 Train: Loss=4.0, RMSE=1.99, test loss=1.7, J=18.07, R=55.64, bufsize=3400
Epoch 75 Train: Loss=4.9, RMSE=2.21, test loss=1.6, J=17.39, R=48.39, bufsize=3600
Epoch 90 Train: Loss=4.9, RMSE=2.22, test loss=1.6, J=15.64, R=43.39, bufsize=4000
Epoch 105 Train: Loss=4.8, RMSE=2.16, test loss=1.5, J=16.56, R=46.39, bufsize=4200
Epoch 120 Train: Loss=5.1, RMSE=2.24, test loss=1.3, J=19.62, R=54.96, bufsize=4600
Epoch 135 Train: Loss=4.5, RMSE=2.11, test loss=1.1, J=20.42, R=55.73, bufsize=4800
Epoch 150 Train: Loss=4.3, RMSE=2.06, test loss=1.1, J=21.82, R=59.06, bufsize=5200
Epoch 165 Train: Loss=3.8, RMSE=1.96, test loss=1.1, J=22.32, R=60.55, bufsize=5400
Epoch 180 Train: Loss=3.4, RMSE=1.82, test loss=1.1, J=22.57, R=61.97, bufsize=5800
Epoch 195 Train: Loss=3.3, RMSE=1.81, test loss=1.0, J=24.65, R=69.38, bufsize=6000
Epoch 210 Train: Loss=3.3, RMSE=1.81, test loss=1.1, J=25.37, R=69.33, bufsize=6400
Epoch 225 Train: Loss=2.7, RMSE=1.67, test loss=1.2, J=32.17, R=89.92, bufsize=6600
Epoch 240 Train: Loss=3.0, RMSE=1.75, test loss=1.1, J=30.46, R=79.96, bufsize=7000
Epoch 255 Train: Loss=3.0, RMSE=1.74, test loss=1.2, J=31.44, R=83.51, bufsize=7200
Epoch 270 Train: Loss=3.2, RMSE=1.77, test loss=1.2, J=32.24, R=85.79, bufsize=7600
Epoch 285 Train: Loss=2.9, RMSE=1.71, test loss=1.2, J=31.11, R=82.56, bufsize=7800
Epoch 300 Train: Loss=2.7, RMSE=1.67, test loss=1.2, J=35.57, R=101.24, bufsize=8200
Epoch 315 Train: Loss=2.8, RMSE=1.66, test loss=1.0, J=37.15, R=99.30, bufsize=8400
