Epoch 0 Train: Loss=1e+07, RMSE=1.83, test loss=8.2e+06, J=2.42, R=4.18, bufsize=2200
Epoch 15 Train: Loss=3.7e+06, RMSE=2.21, test loss=1.5e+06, J=2.14, R=4.27, bufsize=2400
Epoch 30 Train: Loss=1.7e+06, RMSE=1.87, test loss=5.9e+05, J=5.56, R=15.68, bufsize=2800
Epoch 45 Train: Loss=1.6e+06, RMSE=1.93, test loss=4.2e+05, J=12.05, R=42.12, bufsize=3000
Epoch 60 Train: Loss=1.2e+06, RMSE=1.77, test loss=3.6e+05, J=11.40, R=35.68, bufsize=3400
Epoch 75 Train: Loss=1.5e+06, RMSE=2.00, test loss=2.9e+05, J=11.18, R=30.50, bufsize=3600
Epoch 90 Train: Loss=1.3e+06, RMSE=1.95, test loss=2.1e+05, J=16.88, R=42.19, bufsize=4000
Epoch 105 Train: Loss=1.4e+06, RMSE=2.00, test loss=1.7e+05, J=18.32, R=48.09, bufsize=4200
Epoch 120 Train: Loss=1.2e+06, RMSE=1.96, test loss=1.4e+05, J=19.07, R=54.30, bufsize=4600
Epoch 135 Train: Loss=1.2e+06, RMSE=1.97, test loss=1.1e+05, J=19.50, R=53.43, bufsize=4800
Epoch 150 Train: Loss=1.1e+06, RMSE=1.89, test loss=9.4e+04, J=24.55, R=66.77, bufsize=5200
Epoch 165 Train: Loss=1e+06, RMSE=1.84, test loss=8.4e+04, J=26.79, R=72.71, bufsize=5400
Epoch 180 Train: Loss=9.3e+05, RMSE=1.77, test loss=7.5e+04, J=32.59, R=80.70, bufsize=5800
Epoch 195 Train: Loss=9.3e+05, RMSE=1.76, test loss=6.8e+04, J=30.02, R=75.64, bufsize=6000
Epoch 210 Train: Loss=8.6e+05, RMSE=1.72, test loss=6.6e+04, J=29.68, R=75.58, bufsize=6400
Epoch 225 Train: Loss=8.6e+05, RMSE=1.72, test loss=6.5e+04, J=30.00, R=76.05, bufsize=6600
Epoch 240 Train: Loss=8e+05, RMSE=1.67, test loss=6.2e+04, J=30.98, R=79.24, bufsize=7000
Epoch 255 Train: Loss=7.9e+05, RMSE=1.65, test loss=6e+04, J=32.50, R=85.61, bufsize=7200
Epoch 270 Train: Loss=7.2e+05, RMSE=1.60, test loss=5.8e+04, J=35.43, R=100.02, bufsize=7600
Epoch 285 Train: Loss=7e+05, RMSE=1.57, test loss=5.3e+04, J=36.33, R=100.73, bufsize=7800
Epoch 300 Train: Loss=6.5e+05, RMSE=1.52, test loss=5e+04, J=39.19, R=106.84, bufsize=8200
Epoch 315 Train: Loss=6.1e+05, RMSE=1.47, test loss=4.4e+04, J=40.06, R=105.59, bufsize=8400
Epoch 330 Train: Loss=5.7e+05, RMSE=1.41, test loss=3.7e+04, J=41.83, R=110.62, bufsize=8800
Epoch 345 Train: Loss=5.4e+05, RMSE=1.37, test loss=3.2e+04, J=40.19, R=107.88, bufsize=9000
Epoch 360 Train: Loss=4.8e+05, RMSE=1.30, test loss=2.6e+04, J=41.29, R=108.31, bufsize=9400
Epoch 375 Train: Loss=4.6e+05, RMSE=1.26, test loss=2.1e+04, J=45.13, R=124.72, bufsize=9600
Epoch 390 Train: Loss=4.1e+05, RMSE=1.19, test loss=1.7e+04, J=49.42, R=146.01, bufsize=10000
Epoch 405 Train: Loss=3.7e+05, RMSE=1.13, test loss=1.5e+04, J=50.04, R=150.46, bufsize=10000
Epoch 420 Train: Loss=3.2e+05, RMSE=1.07, test loss=1.3e+04, J=50.36, R=152.12, bufsize=10000
Epoch 435 Train: Loss=2.9e+05, RMSE=1.03, test loss=1.2e+04, J=50.32, R=151.94, bufsize=10000
Epoch 450 Train: Loss=2.7e+05, RMSE=1.00, test loss=1.1e+04, J=50.41, R=152.09, bufsize=10000
Epoch 465 Train: Loss=2.5e+05, RMSE=0.96, test loss=9.5e+03, J=50.42, R=152.12, bufsize=10000
Epoch 480 Train: Loss=2.4e+05, RMSE=0.96, test loss=8.8e+03, J=50.52, R=152.65, bufsize=10000
Epoch 495 Train: Loss=2.3e+05, RMSE=0.94, test loss=7.9e+03, J=50.38, R=152.10, bufsize=10000
Epoch 510 Train: Loss=2.1e+05, RMSE=0.91, test loss=7.2e+03, J=42.91, R=126.99, bufsize=10000
