Epoch 0 Train: Loss=1e+07, RMSE=1.79, test loss=8.3e+06, J=2.51, R=4.43, bufsize=2200
Epoch 50 Train: Loss=1.4e+06, RMSE=1.55, test loss=1.8e+05, J=2.67, R=5.38, bufsize=3200
Epoch 100 Train: Loss=1.5e+06, RMSE=1.70, test loss=1.1e+05, J=7.74, R=16.50, bufsize=4200
Epoch 150 Train: Loss=1.7e+06, RMSE=1.84, test loss=9.3e+04, J=12.33, R=29.49, bufsize=5200
Epoch 200 Train: Loss=1.7e+06, RMSE=1.91, test loss=8e+04, J=14.38, R=30.59, bufsize=6200
Epoch 250 Train: Loss=1.8e+06, RMSE=2.01, test loss=7.5e+04, J=13.82, R=27.83, bufsize=7200
Epoch 300 Train: Loss=1.9e+06, RMSE=2.07, test loss=7e+04, J=16.22, R=38.69, bufsize=8200
Epoch 350 Train: Loss=1.9e+06, RMSE=2.15, test loss=6.9e+04, J=5.30, R=12.58, bufsize=9200
Epoch 400 Train: Loss=1.9e+06, RMSE=2.19, test loss=6.7e+04, J=16.51, R=38.77, bufsize=10000
Epoch 450 Train: Loss=1.9e+06, RMSE=2.33, test loss=8.4e+04, J=24.23, R=56.74, bufsize=10000
Epoch 500 Train: Loss=1.9e+06, RMSE=2.47, test loss=1.8e+05, J=23.01, R=51.53, bufsize=10000
Epoch 550 Train: Loss=1.8e+06, RMSE=2.59, test loss=2.3e+05, J=25.88, R=61.24, bufsize=10000
Epoch 600 Train: Loss=1.6e+06, RMSE=2.55, test loss=2.5e+05, J=28.89, R=68.90, bufsize=10000
Epoch 650 Train: Loss=1.4e+06, RMSE=2.52, test loss=2.3e+05, J=38.86, R=94.82, bufsize=10000
Epoch 700 Train: Loss=1.3e+06, RMSE=2.55, test loss=2.2e+05, J=36.62, R=93.10, bufsize=10000
Epoch 750 Train: Loss=1.2e+06, RMSE=2.52, test loss=2.1e+05, J=4.56, R=9.37, bufsize=10000
Epoch 800 Train: Loss=1.1e+06, RMSE=2.51, test loss=1.9e+05, J=43.03, R=111.04, bufsize=10000
